Place_ID,Name,Latitude,Longitude,District,Tags,Duration_Minutes,Rating
1,Temple of the Sacred Tooth Relic,7.2936,80.6413,Kandy,History|Culture,120,4.7
2,Royal Botanic Gardens Peradeniya,7.2718,80.596,Kandy,Nature,150,4.6
3,Kandy Lake,7.3,80.6333,Kandy,Nature|City,60,4.8
4,Udawatta Kele Sanctuary,7.2986,80.6422,Kandy,Nature|Wildlife,120,4.4
5,Ceylon Tea Museum,7.2662,80.6322,Kandy,History|Culture,90,4.2
6,Bahirawakanda Vihara Buddha Statue,7.2917,80.6288,Kandy,Culture,60,4.6
7,Kandy View Point (Arthur's Seat),7.2889,80.6428,Kandy,City|Nature,45,4.6
8,British Garrison Cemetery,7.2928,80.6432,Kandy,History,45,4.5
9,Lankatilaka Vihara,7.2311,80.5658,Kandy,History|Culture,60,4.6
10,Gadaladeniya Vihara,7.2575,80.5566,Kandy,History|Culture,60,4.5
11,Embekke Devalaya,7.2178,80.5677,Kandy,History|Culture,60,4.7
12,Ambuluwawa Tower,7.1444,80.5653,Kandy,Nature|Adventure|Culture,150,4.8
13,Ranawana Purana Rajamaha Viharaya,7.2666,80.575,Kandy,Culture,60,4.7
14,Hanthana Mountain Range,7.2586,80.6286,Kandy,Nature|Adventure,240,4.8
15,Degaldoruwa Temple,7.3005,80.6558,Kandy,History|Culture,60,4.4
16,Alawathugoda Saman Devalaya,7.4055,80.6073,Kandy,History|Culture,45,4.3
17,Giragama Walawwa,7.2943,80.6359,Kandy,History|City,45,4.1
18,Pallekele International Cricket Stadium,7.2801,80.702,Kandy,City|Culture,180,4.5
19,Asgiriya Stadium,7.2988,80.6322,Kandy,City|Culture,60,4.2
20,Sigiriya Lion Rock,7.9569,80.7597,Matale,History|Culture|Adventure,180,4.7
21,Dambulla Cave Temple,7.8566,80.6491,Matale,History|Culture,120,4.9
22,Pidurangala Rock,7.9644,80.7633,Matale,Nature|Adventure,150,4.8
23,Aluvihare Rock Temple,7.4971,80.6218,Matale,History|Culture,90,4.5
24,Muthumariamman Temple Matale,7.4764,80.623,Matale,Culture,60,4.6
25,National Spice Garden Matale,7.5186,80.6042,Matale,Nature|Culture,90,4.7
26,Sembuwatta Lake,7.4394,80.6983,Matale,Nature|Adventure,120,4.6
27,Riverston Peak,7.5283,80.7366,Matale,Nature|Adventure,180,4.8
28,Pitawala Pathana,7.5458,80.7483,Matale,Nature,90,4.7
29,Sera Ella,7.5883,80.755,Matale,Nature|Adventure,120,4.5
30,Bambarakiri Ella,7.4725,80.6658,Matale,Nature,60,4.4
31,Nalanda Gedige,7.67,80.6455,Matale,History|Culture,60,4.3
32,Wasgamuwa National Park,7.7166,80.9333,Matale,Wildlife|Nature,240,4.6
33,Ibbankatuwa Megalithic Tombs,7.8372,80.6298,Matale,History,60,4.2
34,Knuckles Mountain Range,7.4666,80.7833,Matale,Nature|Adventure,300,4.9
35,Hunnas Falls,7.4022,80.6866,Matale,Nature,90,4.5
36,Horton Plains National Park,6.7831,80.7928,Nuwara Eliya,Nature|Wildlife|Adventure,240,4.6
37,World's End,6.7831,80.7928,Nuwara Eliya,Nature|Adventure,120,4.8
38,Baker's Falls,6.7922,80.7894,Nuwara Eliya,Nature,90,4.7
39,Lake Gregory,6.9568,80.7773,Nuwara Eliya,Nature|City,120,4.8
40,Victoria Park Nuwara Eliya,6.9691,80.7661,Nuwara Eliya,Nature|City,90,4.4
41,Pedro Tea Estate,6.9744,80.7911,Nuwara Eliya,Culture|Nature,90,4.5
42,Bluefield Tea Gardens,7.0421,80.698,Nuwara Eliya,Culture|Nature,90,4.7
43,Lovers Leap Waterfall,6.9784,80.7866,Nuwara Eliya,Nature|Adventure,90,4.4
44,Ramboda Falls,7.0585,80.699,Nuwara Eliya,Nature,60,4.6
45,Bomburu Ella,6.968,80.8042,Nuwara Eliya,Nature,120,4.7
46,Hakgala Botanical Garden,6.9256,80.822,Nuwara Eliya,Nature,120,4.4
47,Moon Plains,6.9458,80.7941,Nuwara Eliya,Nature|Wildlife,120,4.5
48,Seetha Amman Temple,6.9338,80.8144,Nuwara Eliya,History|Culture,45,4.6
49,Single Tree Hill,6.9552,80.7577,Nuwara Eliya,Nature|Adventure,120,4.4
50,Galway's Land National Park,6.9656,80.7775,Nuwara Eliya,Nature|Wildlife,90,4.3
51,Natha Devale,7.2942,80.6405,Kandy,History|Culture,45,4.6
52,Maha Vishnu Devalaya,7.2947,80.6398,Kandy,History|Culture,45,4.7
53,Pattini Devale,7.2938,80.6385,Kandy,History|Culture,30,4.5
54,Kataragama Devalaya Kandy,7.2925,80.6372,Kandy,History|Culture,30,4.5
55,Kandy National Museum,7.2933,80.6422,Kandy,History|Culture,60,4.4
56,St. Paul's Church Kandy,7.2936,80.6408,Kandy,History|Culture,30,4.5
57,Asgiri Maha Viharaya,7.2981,80.6322,Kandy,History|Culture,60,4.6
58,Malwatte Maha Viharaya,7.2908,80.6417,Kandy,History|Culture,60,4.6
59,Galmaduwa Rajamaha Viharaya,7.2886,80.6758,Kandy,History|Culture,45,4.5
60,Medawala Rajamaha Viharaya,7.3519,80.5833,Kandy,History|Culture,45,4.7
61,Commonwealth War Cemetery Kandy,7.2764,80.6069,Kandy,History,45,4.8
62,Trinity College Chapel,7.2978,80.6386,Kandy,History|Culture,30,4.7
63,Kadugannawa Railway Museum,7.2567,80.5219,Kandy,History,60,4.4
64,Dawson Tower,7.2561,80.5217,Kandy,History|City,30,4.3
65,Nelligala International Buddhist Centre,7.3008,80.5597,Kandy,Culture|Nature,90,4.8
66,Hindagala Rajamaha Viharaya,7.2389,80.5964,Kandy,History|Culture,45,4.5
67,Red Mosque Kandy,7.2917,80.6369,Kandy,History|Culture,30,4.4
68,Kandy City Centre,7.2925,80.6378,Kandy,City,90,4.4
69,Kandy Clock Tower,7.2911,80.6353,Kandy,City|History,15,4.2
70,Wales Park,7.2903,80.6389,Kandy,Nature|City,45,4.3
71,Saree Ella,7.4103,80.7511,Kandy,Nature|Adventure,60,4.7
72,Jodu Ella,7.4128,80.7489,Kandy,Nature|Adventure,60,4.5
73,Huluganga Falls,7.3972,80.7258,Kandy,Nature,45,4.6
74,Thangappuwa Falls,7.3892,80.7964,Kandy,Nature|Adventure,90,4.8
75,Rangala Natural Pool,7.3556,80.7719,Kandy,Nature|Adventure,90,4.6
76,Loolkandura Estate,7.1436,80.6983,Kandy,History|Nature,120,4.7
77,Kondagala,7.1481,80.6978,Kandy,Nature|Adventure,180,4.8
78,Pettigala,7.2472,80.8258,Kandy,Nature|Adventure,240,4.6
79,Pothgulgala,7.2625,80.5842,Kandy,Nature|Adventure,120,4.5
80,Alagalla Mountain Range,7.2831,80.4853,Kandy,Nature|Adventure,240,4.7
81,Galboda Falls,7.0658,80.4811,Kandy,Nature|Adventure,180,4.6
82,Kadiyanlena Falls,7.0397,80.5694,Kandy,Nature,45,4.7
83,Dodanwala Devalaya,7.2878,80.5622,Kandy,History|Culture,45,4.4
84,Canbuy Gem Museum,7.2833,80.6094,Kandy,Culture|City,45,4.2
85,Rathna Ella,7.3517,80.9936,Kandy,Nature|Adventure,180,4.8
86,Euphoria Spice and Herbal Garden,7.5028,80.6219,Matale,Nature|Culture,60,4.5
87,Matale Heritage Centre,7.4683,80.6231,Matale,Culture|History,60,4.4
88,Fort MacDowall,7.4719,80.6225,Matale,History,30,4.1
89,Christ Church Matale,7.4697,80.6217,Matale,History|Culture,30,4.4
90,Kaludiya Pokuna,7.8672,80.7336,Matale,History|Nature,90,4.7
91,Kandalama Reservoir,7.8864,80.7103,Matale,Nature|Wildlife,90,4.6
92,Bowatenna Dam,7.6586,80.6869,Matale,Nature|City,45,4.3
93,Moragahakanda Reservoir,7.7478,80.7814,Matale,Nature,60,4.5
94,Kalu Ganga Dam,7.5625,80.8258,Matale,Nature,45,4.4
95,Dambulugala Inscriptions,7.8572,80.6517,Matale,History,45,4.4
96,Menikdena Archaeological Reserve,7.8042,80.6247,Matale,History|Nature,90,4.6
97,Arangala Mountain,7.6694,80.6067,Matale,Nature|Adventure,180,4.7
98,Manigala Peak,7.5458,80.7719,Matale,Nature|Adventure,240,4.8
99,Dumbara Ella,7.4936,80.8211,Matale,Nature|Adventure,180,4.7
100,Duwili Ella,7.5097,80.8353,Matale,Nature|Adventure,240,4.9
101,Sansun Ella,7.4981,80.8247,Matale,Nature,60,4.6
102,Thattu Ella,7.5025,80.8286,Matale,Nature,60,4.5
103,Meemure Village,7.4339,80.8447,Matale,Culture|Nature,240,4.8
104,Atanwala Village,7.5367,80.7681,Matale,Culture|Nature,120,4.7
105,Thalkote Wewa,7.9622,80.7331,Matale,Nature|Wildlife,60,4.5
106,Sigiriya Museum,7.9547,80.7578,Matale,History|Culture,90,4.6
107,Mapagala Rock,7.9472,80.7558,Matale,History|Nature,60,4.5
108,Dambulla Dedicated Economic Centre,7.8631,80.6536,Matale,City|Culture,45,4.2
109,Popham's Arboretum,7.8714,80.6381,Matale,Nature|Wildlife,90,4.6
110,Kandalama Hot Air Ballooning,7.8817,80.7025,Matale,Adventure|Nature,180,4.8
